2016-09-03 16:36:02 Budget fixing started.
2016-09-03 16:36:02 Budget reset successfully for 2016-6
2016-09-03 16:36:03 2016-6 tickets: Page 1: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 3, TR Total: 4113.3406, SC: 19
2016-09-03 16:36:03 2016-6 budget updated for TR: 5, TR Total: 1567.5492, SC: 23
2016-09-03 16:36:03 2016-6 budget updated for TR: 6, TR Total: 1567.5492, SC: 23
2016-09-03 16:36:03 2016-6 budget updated for TR: 8, TR Total: 3012.5200, SC: 23
2016-09-03 16:36:03 2016-6 budget updated for TR: 9, TR Total: 7621.2516, SC: 23
2016-09-03 16:36:03 2016-6 budget updated for TR: 10, TR Total: 12967.1652, SC: 23
2016-09-03 16:36:03 2016-6 budget updated for TR: 11, TR Total: 8984.5812, SC: 23
2016-09-03 16:36:03 2016-6 budget updated for TR: 12, TR Total: 3521.5320, SC: 23
2016-09-03 16:36:03 2016-6 budget updated for TR: 13, TR Total: 359.3400, SC: 23
2016-09-03 16:36:03 2016-6 budget updated for TR: 14, TR Total: 6314.8652, SC: 23
2016-09-03 16:36:03 2016-6 tickets: Page 2: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 15, TR Total: 25060.7108, SC: 23
2016-09-03 16:36:03 2016-6 budget updated for TR: 16, TR Total: 1437.6992, SC: 23
2016-09-03 16:36:03 2016-6 budget updated for TR: 17, TR Total: 1437.6992, SC: 23
2016-09-03 16:36:03 2016-6 budget updated for TR: 19, TR Total: 1473.4954, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 20, TR Total: 1473.4954, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 23, TR Total: 4842.9576, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 24, TR Total: 478.8264, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 25, TR Total: 2912.0744, SC: 8
2016-09-03 16:36:03 2016-6 budget updated for TR: 26, TR Total: 1577.2270, SC: 8
2016-09-03 16:36:03 2016-6 budget updated for TR: 27, TR Total: 3639.0436, SC: 8
2016-09-03 16:36:03 2016-6 tickets: Page 3: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 28, TR Total: 11050.1906, SC: 8
2016-09-03 16:36:03 2016-6 budget updated for TR: 29, TR Total: 3207.9628, SC: 8
2016-09-03 16:36:03 2016-6 budget updated for TR: 30, TR Total: 4842.9576, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 31, TR Total: 1177.5328, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 32, TR Total: 5250.4450, SC: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 34, TR Total: 5250.4450, SC: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 35, TR Total: 2055.9124, SC: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 36, TR Total: 5518.5826, SC: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 37, TR Total: 5518.5826, SC: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 38, TR Total: 5974.9444, SC: 10
2016-09-03 16:36:03 2016-6 tickets: Page 4: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 39, TR Total: 5062.2208, SC: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 40, TR Total: 5974.9444, SC: 10
